"vial","file","replicate","resp_rate","id","stage","body_length","length_um","weight_ngC","weight_kgC","mass_spec_resp","resp_mL_h","treatment","group","source_cup","sex","date","days","stage_duration"
"Test - C2",18,"R2",0.000198131342908619,"R2_33","c2",0.425,425,525.071751939121,5.25071751939121e-10,0.0176035302310088,9.24311645870909e-06,"heatstress","active",2,"M",2022-04-22,2,1
"Test - A3",18,"R2",0.000306805384977189,"R2_10","c2",0.492,492,805.120859771672,8.05120859771673e-10,0.0177773548327285,1.43129192073925e-05,"heatstress","active",2,NA,2022-04-22,2,2
"Test - B3",18,"R2",0.00222082539146601,"R2_25","c1",0.332,332,255.297277327515,2.55297277327515e-10,0.405820024611279,0.000103604747368245,"control","active",1,"F",2022-04-22,2,2
"Test - C3",18,"R2",-0.000363234910763179,"R2_34","c2",0.428,428,535.967905485697,5.35967905485697e-10,-0.0316165180982755,-1.69454389838833e-05,"control","active",6,"M",2022-04-22,2,1
"Test - A4",18,"R2",0.00185670847106511,"R2_16","c2",0.423,423,517.889196583665,5.17889196583665e-10,0.167252304002938,8.66181613468484e-05,"heatstress","active",4,"F",2022-04-22,2,1
"Test - B4",18,"R2",0.00326922686363322,"R2_27","c2",0.409,409,469.41291927781,4.6941291927781e-10,0.324904152954882,0.000152514206924035,"control","active",3,NA,2022-04-22,2,2
"Test - A5",18,"R2",0.00276742435045587,"R2_20","c3",0.489,489,790.869536775842,7.90869536775842e-10,0.163243595747785,0.000129104386950674,"heatstress","active",2,"F",2022-04-22,2,2
"Test - B5",18,"R2",0.00244403504666953,"R2_29","c1",0.346,346,288.021685311717,2.88021685311717e-10,0.395865344623426,0.000114017803714943,"control","active",1,"F",2022-04-22,2,1
"Test - A6",18,"R2",0.00201221484775777,"R2_21","c1",0.349,349,295.374653725601,2.95374653725601e-10,0.317809127176083,9.38727608904709e-05,"control","active",1,"F",2022-04-22,2,1
"Test - B6",18,"R2",0.00333819652837607,"R2_30","c3",0.507,507,878.913671632845,8.78913671632845e-10,0.177186619710553,0.000155731742494015,"control","active",1,"M",2022-04-22,2,2
"Test - A2",19,"R2",-0.00216209102679371,"R2_5","c2",0.413,413,482.944394516361,4.82944394516361e-10,-0.208853181992667,-0.000100864473520264,"control","active",6,NA,2022-04-23,3,2
"Test - B2",19,"R2",0.00323228544065013,"R2_24","c3",0.52,520,946.352082605842,9.46352082605842e-10,0.159338680146395,0.000150790491796207,"heatstress","active",2,"F",2022-04-23,3,1
"Test - C2",19,"R2",0.0022431524178726,"R2_36","c1",0.333,333,257.549161698087,2.57549161698087e-10,0.406315036974312,0.000104646097158061,"control","active",6,"F",2022-04-23,3,2
"Test - A3",19,"R2",0.00291357747369586,"R2_11","c2",0.423,423,517.889196583665,5.17889196583665e-10,0.26245446816725,0.00013592233365893,"control","active",3,"F",2022-04-23,3,1
"Test - B3",19,"R2",-0.000716066100010856,"R2_28","c2",0.416,416,493.259552083033,4.93259552083033e-10,-0.0677238846398725,-3.34054530027865e-05,"control","active",1,"F",2022-04-23,3,1
"Test - C3",19,"R2",0.00022151837738871,"R2_40","c3",0.505,505,868.827988546031,8.68827988546031e-10,0.0118943362107928,1.03341322051133e-05,"heatstress","active",2,"M",2022-04-23,3,1
"Test - A4",19,"R2",0.000645174911421152,"R2_15","c1",0.322,322,233.486687665307,2.33486687665307e-10,0.12890791925173,3.00982830799133e-05,"heatstress","active",2,NA,2022-04-23,3,NA
"Test - B4",19,"R2",0.000927334031223598,"R2_29","c2",0.411,411,476.147050756491,4.76147050756491e-10,0.0908572004123889,4.32613880163504e-05,"control","active",1,"F",2022-04-23,3,2
